adultMove,farmSize,biomass,catch
0,1,105590.10441425527,114.32337542763739
20,1,109626.19649276666,103.54783998275711
40,1,109261.07639892225,107.20237135000598
60,1,109157.2083487744,107.93699882263431
80,1,109118.59212123528,108.19231419881045
0,2,105590.9013883419,114.32095423715849
20,2,109586.26064887331,104.56017342637304
40,2,109208.35644787244,107.77367576779683
60,2,109105.38329371961,108.43208579908284
80,2,109067.26870072036,108.66245057145181
0,5,105597.84239145285,114.29936092062111
20,5,109474.497671761,102.15152758253231
40,5,109262.39531688186,106.18953340748936
60,5,109179.16905579621,107.0241598442078
80,5,109146.34204335324,107.32050523563109
0,10,105621.0059497868,114.22491383550539
20,10,109026.64119615493,100.24516598970122
40,10,109140.0755463641,104.67519288619945
60,10,109109.94460324908,105.64469069698413
80,10,109093.08661856552,106.00211671876079
0,20,105687.07877250455,113.944430884748
20,20,108084.42889386734,98.81497849112405
40,20,108665.42333713055,103.54415845364565
60,20,108740.57112514925,104.61990176585975
80,20,108756.32398403647,105.04548311616186
