adultMove,farmSize,biomass,catch
0,1,86242.39733405907,109.8887273505897
20,1,73644.68199137994,67.0608700090663
40,1,82077.26340564583,121.94701800445772
60,1,82488.36761270186,122.56388594699881
80,1,82620.66477984772,122.57013932298247
0,2,86242.79131617313,109.89161769964764
20,2,77721.31879591622,100.14776379911461
40,2,82148.48720811142,121.9441883156879
60,2,82531.56313626573,122.5092223748076
80,2,82618.87906912673,122.45533772076969
0,5,86246.19458170564,109.9181446635211
20,5,78936.10501139231,104.08944539451306
40,5,82340.21518834402,120.69357299638119
60,5,82653.29165705113,122.13045238493677
80,5,82826.92472080833,122.31441885188048
0,10,86257.51814425636,110.00760754395087
20,10,81920.69000264547,109.1518948526846
40,10,82722.4554797318,118.24692690501072
60,10,82942.3910634963,121.32935207959422
80,10,82820.38314713181,121.71083695936133
0,20,86295.64761943849,110.26852461223626
20,20,82781.18259206176,112.46173966152452
40,20,82918.58257334464,118.02501984070318
60,20,83010.80726105902,120.53336186121007
80,20,83031.21394961097,122.33280342513457
