mpaSize,attr,biomass,catch
0.1,1,94047.03668942711,121.94706900515348
0.2,1,95697.08720058469,128.36414842422758
0.30000000000000004,1,97190.62229196326,132.8547292785704
0.4,1,100040.1451738877,131.25024216834768
0.5,1,102576.01391678184,128.40740919312054
0.6,1,105117.52871743796,124.79393871666603
0.7,1,107304.78716571545,120.59626468080275
0.1,3,95453.21068599715,119.06138171253771
0.2,3,97881.96044322145,123.69044447541346
0.30000000000000004,3,99825.47136358837,126.43292296869187
0.4,3,102635.60166563511,122.65265934080918
0.5,3,105002.26164492744,114.45806114119087
0.6,3,107193.82052614928,107.47627447146137
0.7,3,108898.84409834283,104.20623990407165
0.1,9,102489.78355777248,89.15090830144656
0.2,9,107105.13111254954,73.10181492531129
0.30000000000000004,9,109579.36446963949,62.37409741258648
0.4,9,110886.5863261044,56.09151769036588
0.5,9,111675.31980815486,52.215561207757155
0.6,9,112226.35525743604,49.50513622368613
0.7,9,112661.45756020038,47.04738623317689
0.1,15,104617.51260465544,80.37181966874232
0.2,15,108983.38409476605,62.248092766404234
0.30000000000000004,15,110973.5225250458,51.357992105786465
0.4,15,111900.10508991768,45.58533035287847
0.5,15,112427.99461393533,42.19560980693113
0.6,15,112794.23166009832,39.81881661694471
0.7,15,113086.08603819163,37.516356553485686
