year,run,farmDesign,biomass,catch,bmNull,ctchNull,bmDiff,ctchDiff
2,1,large,114522.24173627148,12840.665255097576,114522.24173627148,12840.665255097576,0,0
2,1,small,114522.24173627148,12840.665255097576,114522.24173627148,12840.665255097576,0,0
2,3,large,114522.24173627148,12840.665255097576,114522.24173627148,12840.665255097576,0,0
2,3,small,114522.24173627148,12840.665255097576,114522.24173627148,12840.665255097576,0,0
2,9,large,114522.24173627148,12840.665255097576,114522.24173627148,12840.665255097576,0,0
2,9,small,114522.24173627148,12840.665255097576,114522.24173627148,12840.665255097576,0,0
2,15,large,114522.24173627148,12840.665255097576,114522.24173627148,12840.665255097576,0,0
2,15,small,114522.24173627148,12840.665255097576,114522.24173627148,12840.665255097576,0,0
3,1,large,79280.8460900927,8889.267188186748,79280.8460900927,8889.26718818675,0,-1.8189894035458565e-12
3,1,small,79280.8460900927,8889.267188186748,79280.8460900927,8889.26718818675,0,-1.8189894035458565e-12
3,3,large,79280.8460900927,8889.267188186748,79280.8460900927,8889.26718818675,0,-1.8189894035458565e-12
3,3,small,79280.8460900927,8889.267188186748,79280.8460900927,8889.26718818675,0,-1.8189894035458565e-12
3,9,large,79280.8460900927,8889.267188186748,79280.8460900927,8889.26718818675,0,-1.8189894035458565e-12
3,9,small,79280.8460900927,8889.267188186748,79280.8460900927,8889.26718818675,0,-1.8189894035458565e-12
3,15,large,79280.8460900927,8889.267188186748,79280.8460900927,8889.26718818675,0,-1.8189894035458565e-12
3,15,small,79280.8460900927,8889.267188186748,79280.8460900927,8889.26718818675,0,-1.8189894035458565e-12
4,1,large,74957.76776675227,8404.547357523352,74957.76776675228,8404.547357523352,-1.4551915228366852e-11,0
4,1,small,74957.76776675227,8404.547357523352,74957.76776675228,8404.547357523352,-1.4551915228366852e-11,0
4,3,large,74957.76776675227,8404.547357523352,74957.76776675228,8404.547357523352,-1.4551915228366852e-11,0
4,3,small,74957.76776675227,8404.547357523352,74957.76776675228,8404.547357523352,-1.4551915228366852e-11,0
4,9,large,74957.76776675227,8404.547357523352,74957.76776675228,8404.547357523352,-1.4551915228366852e-11,0
4,9,small,74957.76776675227,8404.547357523352,74957.76776675228,8404.547357523352,-1.4551915228366852e-11,0
4,15,large,74957.76776675227,8404.547357523352,74957.76776675228,8404.547357523352,-1.4551915228366852e-11,0
4,15,small,74957.76776675227,8404.547357523352,74957.76776675228,8404.547357523352,-1.4551915228366852e-11,0
5,1,large,66250.41243039715,7428.245868518216,66251.00412088103,7428.312211084704,-0.5916904838813934,-0.0663425664879469
5,1,small,66250.41243039715,7428.245868518216,66251.00412088103,7428.312211084704,-0.5916904838813934,-0.0663425664879469
5,3,large,66250.41243039715,7428.245868518216,66251.00412088103,7428.312211084704,-0.5916904838813934,-0.0663425664879469
5,3,small,66250.41243039715,7428.245868518216,66251.00412088103,7428.312211084704,-0.5916904838813934,-0.0663425664879469
