mpaSz,aMove,mgmt,biomass,catch
0.25,0,oa,31034.63426764855,2310.4239122127706
0.3,0,oa,34330.36424902186,2219.1724714182114
0.35,0,oa,37762.440858034395,2112.4977727147552
0.4,0,oa,41372.32819187651,1991.6508973878056
0.25,3,oa,32892.324645089495,2553.076928675733
0.3,3,oa,36135.452351269516,2546.674039357784
0.35,3,oa,39434.45042253076,2540.9218180575176
0.4,3,oa,42867.345077573074,2533.978093763907
0.25,20,oa,32036.94701186495,3237.877126550783
0.3,20,oa,35158.1128628598,3301.5288736907064
0.35,20,oa,38175.265998072304,3335.8888887023463
0.4,20,oa,40969.78530467447,3342.789108091919
0.25,60,oa,29757.978580987205,3200.9227292420337
0.3,60,oa,32219.989686003162,3271.0438625847414
0.35,60,oa,34581.19248957246,3319.8538060193246
0.4,60,oa,36998.997970543445,3349.991911179968
0.25,0,ce,93599.58397184733,111.371395445439
0.3,0,ce,93600.32253489929,111.25806858780125
0.35,0,ce,93601.17067865113,111.1278250759943
0.4,0,ce,93602.16064107162,110.97598899145105
0.25,3,ce,86688.88451295439,71.61013607983884
0.3,3,ce,86773.07896256707,65.73879155069494
0.35,3,ce,87063.17083491308,59.70709699400573
0.4,3,ce,87554.3046978571,54.90400194806535
0.25,20,ce,89580.69474717721,77.90930456895599
0.3,20,ce,89666.12871600047,73.89108662224521
0.35,20,ce,89892.05583139657,70.5043917578769
0.4,20,ce,90284.64471632002,82.02854981708495
0.25,60,ce,91085.99022257065,118.35597320073477
0.3,60,ce,91201.55010494596,123.61209102006401
0.35,60,ce,91212.2670720804,125.45407633755768
0.4,60,ce,91145.21728613354,121.19278203149004
