mpaSz,aMove,mgmt,biomass,catch
0.05,0,oa,22217.981400103872,2610.8537814929223
0.1,0,oa,27263.27424531651,2676.885140873413
0.15000000000000002,0,oa,32674.236210513543,2692.375836080922
0.2,0,oa,38489.406501933976,2664.846402925274
0.05,3,oa,21706.51708174575,2697.1314970982185
0.1,3,oa,26009.645912503667,2875.998147887874
0.15000000000000002,3,oa,30459.84501377312,3042.955258315698
0.2,3,oa,35184.45861809899,3207.1779561391545
0.05,20,oa,20150.22638758519,2798.505241446525
0.1,20,oa,23409.165681618844,3143.5659780586434
0.15000000000000002,20,oa,27466.759429924332,3524.300033391574
0.2,20,oa,31925.16547040004,3898.7709000568348
0.05,60,oa,20298.09986923263,2835.3171169342722
0.1,60,oa,23613.930435311406,3188.4279921561365
0.15000000000000002,60,oa,26916.002764406385,3510.4398403654627
0.2,60,oa,30302.257530586176,3808.1864401419234
0.05,0,ce,96607.76879697296,112.37842226176994
0.1,0,ce,99607.99777704474,112.966912773826
0.15000000000000002,0,ce,102604.21739048038,113.51964340487085
0.2,0,ce,105600.62927068955,114.02879556378909
0.05,3,ce,96834.77274377037,107.73990761358424
0.1,3,ce,100014.69610982193,100.8640100356217
0.15000000000000002,3,ce,103207.15301230787,92.69569936236327
0.2,3,ce,106557.62119905067,84.91511128962192
0.05,20,ce,97756.97090039613,109.27003762054812
0.1,20,ce,101868.37200097537,106.73685333474498
0.15000000000000002,20,ce,105770.58669375183,104.30481441026208
0.2,20,ce,109476.743735332,101.90845736544284
0.05,60,ce,97795.52426466094,110.5979339763084
0.1,60,ce,101792.22174857731,109.36855309064752
0.15000000000000002,60,ce,105576.34517131513,108.11049067786256
0.2,60,ce,109181.59657318407,106.76957985078444
0.25,0,oa,44542.71869754958,2600.1077281634057
0.3,0,oa,50906.17761333883,2504.2897841092395
0.35,0,oa,57422.01064027117,2383.851199458152
0.4,0,oa,64153.33666323295,2243.076604515886
0.25,3,oa,40143.71448759348,3362.2877081877414
0.3,3,oa,45292.82625034799,3518.310374269963
0.35,3,oa,50673.09435818056,3675.6745680833287
0.4,3,oa,56408.44479558123,3828.115098733344
0.25,20,oa,36643.24940866735,4237.750516645123
0.3,20,oa,41033.16193311597,4503.480296472355
0.35,20,oa,45273.977674322785,4725.190581967403
0.4,20,oa,49358.19334202669,4904.0591262816315
0.25,60,oa,33642.84772256194,4076.1999869522733
0.3,60,oa,37096.10763821398,4322.051753673424
0.35,60,oa,40526.23773033944,4540.734475456214
0.4,60,oa,44113.588552389374,4738.2137409054385
0.25,0,ce,108592.65799907668,114.5048415278647
0.3,0,ce,111585.71755097277,114.933683072139
0.35,0,ce,114574.02831976494,115.32954721226007
0.4,0,ce,117562.24112702387,115.67739216502281
0.25,3,ce,110096.90934102847,77.97068957438442
0.3,3,ce,113831.611798046,73.34853521466589
0.35,3,ce,117549.46006616553,68.98917120932067
0.4,3,ce,121215.04707784209,65.83317003139346
0.25,20,ce,113015.17856414638,99.7563329061559
0.3,20,ce,116400.83770098953,97.6542736242281
0.35,20,ce,119647.30380797057,95.90149736520972
0.4,20,ce,122770.76059501228,94.26945534175758
0.25,60,ce,112630.04073206824,105.48983486053392
0.3,60,ce,115946.55717802681,104.16267489751466
0.35,60,ce,119138.55090775709,102.95897297322483
0.4,60,ce,122226.33398835453,101.7558064734182
