mpaSz,aMove,mgmt,biomass,catch
0.05,0,oa,19002.884094537963,2448.290514270855
0.1,0,oa,20731.896089834005,2400.171131305272
0.15000000000000002,0,oa,22578.978574736862,2340.2644210013837
0.2,0,oa,24575.22985203888,2268.5147285756434
0.25,0,oa,26691.370847916278,2185.06347333179
0.3,0,oa,28966.798316648346,2089.935522352385
0.35000000000000003,0,oa,31358.307653265056,1984.1621311997735
0.4,0,oa,33899.558420899484,1868.0374137514868
0.05,3,oa,19736.39883217768,2465.2755454160542
0.1,3,oa,22165.897613074307,2428.2785210813786
0.15000000000000002,3,oa,24685.462814763527,2378.2693670643007
0.2,3,oa,27298.724679631123,2319.043039414472
0.25,3,oa,29954.323384627976,2252.614187517834
0.3,3,oa,32656.811363546763,2183.485431263278
0.35000000000000003,3,oa,35380.97695303135,2113.125389076316
0.4,3,oa,38157.47457399727,2042.189069277724
0.05,20,oa,19240.374589561685,2566.7345792179003
0.1,20,oa,21428.12673412389,2653.0885496073965
0.15000000000000002,20,oa,24136.787774268083,2735.4758096587675
0.2,20,oa,27025.767844006466,2791.8986577330224
0.25,20,oa,29892.979202117484,2815.855300943751
0.3,20,oa,32475.574226861754,2804.8475939033297
0.35000000000000003,20,oa,34948.33354304484,2772.367846207049
0.4,20,oa,37178.66077453154,2721.913046848947
0.05,60,oa,19377.155769905232,2594.9737011706156
0.1,60,oa,21615.515540374352,2690.120837049538
0.15000000000000002,60,oa,23760.510511582153,2757.3442003926966
0.2,60,oa,25892.497950007597,2800.9174155229543
0.25,60,oa,27893.182137944503,2823.1360840196294
0.3,60,oa,29894.124056816054,2826.860247579374
0.35000000000000003,60,oa,31771.859471815158,2814.982972959745
0.4,60,oa,33671.07030152071,2788.2439539235606
0.05,0,ce,27329.39659847748,2886.1767911058123
0.1,0,ce,27939.05839647718,2766.078269294942
0.15000000000000002,0,ce,28649.233615586098,2640.5214366032064
0.2,0,ce,29487.223910702425,2508.1269010529427
0.25,0,ce,30445.942824216498,2368.4073758419877
0.3,0,ce,31564.974292526396,2219.6770122880002
0.35000000000000003,0,ce,32829.382850737726,2061.8853982198725
0.4,0,ce,34281.702947518905,1893.5010261713448
0.05,3,ce,28139.119749678568,2865.3925224538652
0.1,3,ce,29537.060323621216,2731.3348540307347
0.15000000000000002,3,ce,31025.624926362445,2600.70509933428
0.2,3,ce,32617.79724465858,2475.5865083978415
0.25,3,ce,34280.80089171674,2357.3275433368544
0.3,3,ce,36032.02287271049,2249.017093397692
0.35000000000000003,3,ce,37853.67370907102,2150.6070905101906
0.4,3,ce,39761.39915716071,2062.0504408745883
0.05,20,ce,28313.715368126897,2985.37278768041
0.1,20,ce,30358.671566330806,2966.7795122063526
0.15000000000000002,20,ce,32669.234707882035,2932.874117226112
0.2,20,ce,34936.76834169109,2881.743421996681
0.25,20,ce,37050.567201280595,2819.493820438597
0.3,20,ce,38824.74866622459,2750.965195860698
0.35000000000000003,20,ce,40496.18200386479,2680.602156849843
0.4,20,ce,41943.966758153,2611.171963534635
0.05,60,ce,28793.68699249961,3002.9621372925567
0.1,60,ce,30737.6846414233,2986.6721685648154
0.15000000000000002,60,ce,32486.675051161,2957.0968385879305
0.2,60,ce,34089.53758843996,2916.7918667708404
0.25,60,ce,35536.796461300524,2871.568129431714
0.3,60,ce,36899.30778415332,2820.6189706147475
0.35000000000000003,60,ce,38126.63286477548,2768.705618697939
0.4,60,ce,39309.37791769769,2713.4718464473845
