adultMove,farmSize,biomass,catch
0,1,21955.26879200201,2169.2393398947597
5,1,30583.446235731702,2438.598742111553
10,1,29753.735477729682,2507.830948812449
15,1,28467.300812828467,2538.294368603427
20,1,27526.63546223845,2547.953235370835
25,1,26808.27364714153,2550.345377512987
30,1,26255.85162418826,2549.594952609841
35,1,25822.893905169814,2547.5311021504094
40,1,25476.525957199385,2544.982512604896
45,1,25194.19741130549,2542.3316537619976
50,1,24960.512844939385,2539.7582375828824
55,1,24764.914736511997,2537.348317563333
60,1,24599.98130924948,2535.1417064423495
65,1,24460.238795917438,2533.1522898564335
70,1,24341.427050966657,2531.3779540226838
75,1,24240.094471130873,2529.806792326487
80,1,24153.385052173155,2528.4215571719196
0,2,21960.246615515578,2169.102674844463
5,2,26472.203971236013,2452.1684923804683
10,2,27998.54028524533,2528.127459218795
15,2,27505.080056693554,2548.2655646899325
20,2,26859.893727566683,2554.4463253116146
25,2,26308.058263437786,2555.1130838088475
30,2,25860.612405394204,2553.467947454367
35,2,25497.080740680245,2550.8908861265286
40,2,25197.968246700868,2548.0094802862563
45,2,24948.470218443446,2545.1137868443298
50,2,24737.90559747865,2542.3396703601798
55,2,24558.719909341828,2539.752915346947
60,2,24405.502643312204,2537.385027825015
65,2,24274.174525277733,2535.247206328521
70,2,24161.45408906698,2533.3367762728553
75,2,24064.575712963357,2531.6417237226738
80,2,23981.162015285514,2530.144523317814
0,5,22005.20664763184,2167.8005975940405
5,5,25431.101815654165,2207.613251561026
10,5,25218.62041509904,2389.04842026326
15,5,25400.900927108734,2453.9413135417553
20,5,25443.405505567192,2485.1419547079186
25,5,25365.74269203178,2501.8165721250753
30,5,25240.3737385504,2510.523189563657
35,5,25093.407690591393,2514.911149250045
40,5,24946.665974335745,2517.0190184487224
45,5,24811.77959134396,2517.913968210636
50,5,24691.228058595483,2518.130369492476
55,5,24583.995704810834,2517.9513724971935
60,5,24488.711850858122,2517.546559311859
65,5,24404.317126119102,2517.025661536781
70,5,24329.912718760577,2516.4596909328343
75,5,24264.596086168698,2515.8925007755934
80,5,24207.42385684717,2515.349237833333
0,10,22157.15521826867,2163.3082379245093
5,10,25008.339023021756,2112.2066969732055
10,10,24815.61932424143,2231.6130551570377
15,10,24093.22587105186,2325.9380451681704
20,10,23782.180902237986,2380.888473653305
25,10,23709.525086987884,2415.3880672675127
30,10,23746.96597630899,2439.2371139139345
35,10,23834.458106112343,2455.863321316331
40,10,23936.159555772098,2467.50539875117
45,10,24028.244369473552,2475.60534400232
50,10,24098.929668179113,2481.1691673769924
55,10,24146.126665345273,2484.9451038168822
60,10,24173.389278481114,2487.494303648496
65,10,24186.143003391564,2489.2223033532805
70,10,24189.412334535013,2490.408540594888
75,10,24186.99080064354,2491.2383886224106
80,10,24181.434323717272,2491.8320999033313
0,20,22641.827492506694,2146.829330484306
5,20,24447.709684118287,2096.8314506050674
10,20,24706.21217574768,2138.0474128801025
15,20,24043.920546825964,2212.7541283848377
20,20,23419.82247521859,2271.651322735637
25,20,22974.654197143558,2314.7504001157804
30,20,22693.358276898074,2346.91352729809
35,20,22549.42186145192,2371.688435023009
40,20,22519.824669377256,2391.249617662926
45,20,22578.25828667006,2406.9053866858435
50,20,22694.02385597492,2419.431172384932
55,20,22837.831892147366,2429.3433563015983
60,20,22987.43570335529,2437.078949978554
65,20,23129.208332334973,2443.052400689209
70,20,23256.61894745552,2447.6472333332003
75,20,23367.58825203708,2451.180873312431
80,20,23462.58669578071,2453.912620734549
