adultMove,farmSize,biomass,catch
0,1,13883.282570397141,1716.922513159902
5,1,12449.843723215075,438.9817651290427
10,1,11315.265780834998,315.2143732710417
15,1,11596.069157967637,341.9848211306148
20,1,11966.689693198054,389.19865150329764
25,1,12316.288207644635,438.42018690153344
30,1,12604.476637987578,485.5643708951041
35,1,12846.144558444512,528.6975104137264
40,1,13033.650506230653,567.5253436930252
45,1,13190.966632929349,602.0067648409298
50,1,13309.770314323645,632.5544042394978
55,1,13403.910028461272,659.6402524122725
60,1,13484.305663447978,683.7553520434207
65,1,13555.960969760481,705.4706879077944
70,1,13619.366694979082,725.06053874263
75,1,13675.417551652798,742.7120233845982
80,1,13724.656886113482,758.6219596873482
0,2,13883.27650358002,1717.0906406629274
5,2,13854.812455582814,712.550972244342
10,2,12611.954279933649,487.68853860440174
15,2,12287.492553560023,461.87026484953964
20,2,12412.35292039609,492.37491751306084
25,2,12660.572557803976,525.2932158037163
30,2,12887.89061817503,561.599318830651
35,2,13062.718430678646,596.8851705746235
40,2,13205.251653780175,628.1656477914051
45,2,13332.614401840376,656.524553034752
50,2,13431.00179251995,682.3123521170828
55,2,13502.959670500635,705.0763047591261
60,2,13578.200097937188,725.7429101585572
65,2,13641.481210646889,744.849499575551
70,2,13693.96284860012,762.1554685361588
75,2,13739.873807504151,777.8549441581703
80,2,13780.575240238082,792.1121412440896
0,5,13883.062282655408,1718.6100453065255
5,5,14289.988996145124,1202.178829520686
10,5,13990.518875725145,838.2919294296082
15,5,13697.815398773128,742.4583397905366
20,5,13556.21704934958,707.684826485443
25,5,13478.270124558472,689.208818357327
30,5,13460.353276054968,680.3943789613842
35,5,13491.336299345052,686.5604928983028
40,5,13542.344764073669,701.3866560534224
45,5,13599.107724134607,714.2266803211731
50,5,13661.106174375489,724.7223863641871
55,5,13714.016331379213,735.994285303005
60,5,13762.978061623931,747.6918636406623
65,5,13800.911937850959,758.8108342646065
70,5,13833.786801431124,769.6684441867799
75,5,13862.790581919682,779.9092001764163
80,5,13888.150521994967,789.4092725766618
0,10,13882.0669021201,1723.7542919019136
5,10,14139.604457712192,1472.1400070320444
10,10,14224.506652729353,1208.3271073840692
15,10,14301.315156595558,1081.688263209699
20,10,14327.793735491268,1020.3351635946292
25,10,14273.593063250535,982.6630888120293
30,10,14206.8153116688,951.2456838196658
35,10,14178.803805490905,911.9072952224958
40,10,14103.800969599375,891.059579833578
45,10,14126.499018096047,884.1964070175765
50,10,14104.362097203339,872.5522508062953
55,10,14106.99198478143,868.7636422440904
60,10,14178.985249264733,875.2487583229296
65,10,14132.401803697945,865.0951821465858
70,10,14140.367925140605,865.4921504750987
75,10,14145.785902619344,865.9473114954014
80,10,14149.898078655053,866.9655650170752
0,20,13882.345117367142,1740.8748235330906
5,20,14015.669005653495,1618.9672634067597
10,20,14131.06087967153,1477.4305047732978
15,20,14241.168594511146,1379.2928516280842
20,20,14354.075152891335,1313.722203376265
25,20,14475.728406167686,1269.5494130756176
30,20,14518.366486871635,1231.7683470145823
35,20,14540.959995204865,1209.1621024803867
40,20,14541.27022666416,1192.4801824501478
45,20,14551.355183669717,1176.0915832124151
50,20,14540.126864522577,1165.5055173411051
55,20,14528.207732987421,1156.6320252617768
60,20,14519.827346937936,1149.1388257696758
65,20,14523.88514792535,1143.2984877274534
70,20,14522.710363459148,1138.3121514317952
75,20,14448.268650915175,1105.127146975853
80,20,14447.31270316253,1100.753426510792
