mpaSize,attr,biomass,catch
0.05,1,17708.234404566996,2507.3241679513694
0.1,1,18998.59156053606,2579.2907395789193
0.15000000000000002,1,21822.415438361553,2670.588929657781
0.2,1,23859.824889182248,2705.839858041144
0.05,3,19407.383999448535,2615.297928727322
0.1,3,21415.786304690722,2673.695977076894
0.15000000000000002,3,23601.94996994049,2709.378594229666
0.2,3,26073.341134524326,2731.9798184257397
0.05,9,20600.018267725023,2671.376626724636
0.1,9,23818.866589529687,2722.818880328519
0.15000000000000002,9,26876.901227503175,2734.2627381869884
0.2,9,30092.19968378845,2725.808102510857
0.05,15,21554.736343253357,2702.1077628854264
0.1,15,25454.1265593443,2732.9961667566386
0.15000000000000002,15,29049.03188046005,2722.09275121677
0.2,15,32712.84379430137,2689.688654752638
0.25,1,26143.597542483854,2731.3645912714023
0.3,1,28600.652749207053,2746.540279982619
0.35,1,31190.03929323389,2751.9518400451593
0.4,1,33895.01450663113,2748.6151435171405
0.25,3,28790.989794976038,2741.645801463195
0.3,3,31681.26856977551,2738.627010220343
0.35,3,34688.70725166928,2724.2646092637688
0.4,3,37787.50595985368,2700.2697018992517
0.25,9,33518.324442118086,2699.9727387016956
0.3,9,37113.26476964242,2658.1558064379615
0.35,9,40816.16916675778,2603.037054571764
0.4,9,44587.07948910871,2537.6554425113663
0.25,15,36555.58593041192,2637.9312726023777
0.3,15,40533.28197937306,2569.6375930989034
0.35,15,44600.329226758164,2488.0432329175155
0.4,15,48720.51160152669,2396.7237050564354
