mpaSize,attr,biomass,catch
0.05,1,17651.574629634535,2508.0329651907655
0.1,1,18001.32518533214,2531.4302251043255
0.15000000000000002,1,18378.523652867414,2555.6650662650973
0.2,1,18790.65548997883,2581.015689956429
0.25,1,19248.546399675906,2607.8958036096237
0.3,1,20585.632706596276,2691.243708558915
0.35000000000000003,1,24470.64217687948,2903.075504598477
0.4,1,27250.849265500776,3007.935914576668
0.05,3,20267.558846710665,2708.6562019965977
0.1,3,22892.645917923786,2870.002828370001
0.15000000000000002,3,25401.403428657315,2992.2356543147225
0.2,3,27888.782618433102,3085.4660141976397
0.25,3,30406.708119369792,3154.6190582511995
0.3,3,32987.585381880766,3202.1639552558163
0.35000000000000003,3,35536.26145345933,3229.4924070300654
0.4,3,38090.95326546857,3238.512365301513
0.05,9,23286.89490329605,2915.1544620674154
0.1,9,27799.391010261053,3121.6042549732524
0.15000000000000002,9,31954.11812735871,3233.9453133570414
0.2,9,36013.20024812378,3284.502739453939
0.25,9,40043.74700160206,3286.5626727069753
0.3,9,44054.08209019893,3248.2663689551596
0.35000000000000003,9,47540.242659070034,3189.2206100724684
0.4,9,50643.178435351365,3116.708541564564
0.05,15,25623.503458246356,3048.518929946374
0.1,15,31726.277124821445,3243.11642412617
0.15000000000000002,15,37385.813508163825,3297.8344697025796
0.2,15,42812.05668525015,3262.7849675877183
0.25,15,48008.74511443109,3165.052892917925
0.3,15,52956.54676883263,3024.1986886621276
0.35000000000000003,15,56974.69867015731,2886.224247777034
0.4,15,60310.65392492242,2754.655967126984
