mpaSize,attr,biomass,catch
0.05,1,17667.528289824528,2508.0329651907655
0.1,1,18034.274281236547,2531.4302251043255
0.15000000000000002,1,18429.696338323956,2555.6650662650973
0.2,1,18861.55748059091,2581.015689956429
0.05,3,20417.491916332037,2708.6562019965977
0.1,3,23183.539068742313,2870.002828370001
0.15000000000000002,3,25833.941254000438,2992.2356543147225
0.2,3,28468.432521143168,3085.4660141976397
0.05,9,23790.99518293809,2915.1544620674154
0.1,9,28663.547887999597,3121.6042549732524
0.15000000000000002,9,33156.70099500901,3233.9453133570414
0.2,9,37556.55752664084,3284.502739453939
0.05,15,26572.94751525386,3048.518929946374
0.1,15,33316.2550403689,3243.11642412617
0.15000000000000002,15,39581.623202244555,3297.8344697025796
0.2,15,45590.33911837147,3262.7849675877183
